runtime,in01,in02,in03,in04,in05,in06,in07,in08,in09,in10,in11,in12,in13,in14
689,0,2000,1250,0.01,-360,-330,-360,-330,50,80,60,80,20000,0
860,0,2000,1250,0.01,-360,-330,-360,-330,50,80,60,80,30,20
721,0,2000,1250,0.01,-360,-330,-360,-330,65,80,50,80,0,0
736,0,2000,1250,0.01,-360,-330,-360,-330,50,75,50,80,0,0
891,0,2000,1250,0.01,-360,-330,-360,-330,50,80,60,80,20000,-500
619,0,2000,1275,0.01,-360,-330,-360,-330,50,80,60,80,0,0
661,0,2000,1700,0.01,-360,-330,-360,-330,50,80,60,80,0,0
601,0,2000,1550,0.01,-360,-330,-360,-330,50,80,60,80,0,0
1530,0,2000,1250,0.01,-360,-330,-360,-330,50,80,50,70,2000,0
633,0,2000,900,0.01,-10,-10,-360,-330,8.33,8.33,50,80,0,0
595,0,2000,1400,0.01,-360,-330,-360,-330,50,80,60,80,0,0
588,0,2000,1250,0.01,-360,-330,-360,-330,50,55,50,80,30,10
626,0,2000,1250,0.01,-360,-330,-360,-330,50,80,60,80,50,0
725,0,2000,1250,0.01,-336,-300,-320,-300,50,80,60,80,40,10
583,0,2000,1250,0.01,-360,-330,-360,-330,50,80,50,70,60,80
581,0,2000,1250,0.01,-360,-330,-360,-330,50,80,60,80,-100,100
787,0,2000,1800,0.01,-360,-330,-360,-330,50,80,60,80,0,0
591,0,2000,700,0.01,-207.0017,-235,-600,-595,-101.2521667,78,27,30,20,0
639,0,2000,1250,0.01,-360,-324,-360,-330,50,80,50,80,15,-5
688,0,2000,1250,0.01,-360,-330,-360,-330,50,80,60,70,20,-10
618,0,2000,1250,0.01,-360,-330,-360,-330,50,80,50,70,100,0
657,0,2000,900,0.01,-360,-330,-360,-330,50,80,60,80,0,0
645,0,2000,1850,0.01,-360,-330,-360,-330,50,80,60,80,0,0
652,0,2000,1250,0.01,-360,-330,-360,-330,50,80,100,100,0,0
732,0,2000,1500,0.01,-360,-330,-360,-330,50,80,60,80,30,20
594,0,2000,1250,0.01,0,0,0,0,50,80,50,70,-360,-330
631,0,2000,1250,0.01,-360,-330,-360,-330,50,80,50,70,800,800
591,0,2000,900,0.01,-176.7236,-235,-600,-595,-99.91883333,78,27,30,20,0
591,0,2000,1200,0.01,-360,-330,-360,-330,55,80,60,80,15,0
275,1250,2000,1250,0.01,-360,-330,-360,-330,50,80,60,80,0,0
902,0,2000,1100,0.01,-300,-270,-360,-330,40,65,50,80,10,-2
659,0,2000,1250,0.01,-360,-330,-360,-330,50,75,50,80,20,20
620,0,2000,1250,0.01,-360,-330,-360,-330,50,80,60,80,50,0
753,0,2000,1250,0.01,-360,-336,-370,-350,50,70,40,60,20,-20
649,0,2000,1250,0.01,-400,-376,-380,-340,60,80,40,80,40,30
632,0,2000,1250,0.01,-360,-330,-360,-330,50,80,60,80,0,0
664,0,2000,1250,0.01,-360,-330,-360,-330,50,80,50,70,30,-20
685,0,2000,1250,0.01,-360,-330,-354,-330,50,80,60,80,0,20
610,0,2000,1250,0.01,-360,-330,-360,-330,50,80,60,80,30,-20
652,0,2000,1100,0.01,-366,-330,-340,-330,50,80,60,80,11,-2
691,0,2000,1250,0.01,-360,-330,-360,-330,50,75,60,90,0,60
602,0,2000,1100,0.01,-300,-270,-360,-330,55,80,50,80,15,25
753,0,2000,1250,0.01,-360,-330,-360,-330,50,80,60,80,300,300
835,0,2000,750,0.01,-360,-330,-360,-330,50,80,60,80,-20,-10
746,0,2000,1250,0.01,-366,-330,-360,-330,50,80,50,70,15,15
625,0,2000,1250,0.01,-360,-336,-360,-340,30,50,50,70,10,20
647,0,2000,1250,0.01,-360,-330,-360,-330,50,75,50,80,30,0
417,300,1600,400,0.01,-360,-330,-360,-330,50,80,60,80,30,0
606,0,2000,1250,0.01,-360,-330,-360,-330,50,80,60,80,0,0
643,0,2000,1250,0.01,-360,-330,-360,-330,55,80,60,80,30,0
667,0,2000,1250,0.01,-400,-376,-380,-340,60,80,40,80,50,20
607,0,2000,1250,0.01,-360,-330,-360,-330,50,80,50,70,0,900
648,0,2000,1000,0.01,-366,-330,-360,-330,50,80,50,80,20,30
612,0,2000,1250,0.01,-360,-330,-360,-330,80,50,80,50,3,0
7,0,2000,1250,0.01,-360,-330,-360,-330,50,80,50,70,0,0
692,0,2000,1250,0.01,-360,-336,-360,-340,30,50,50,70,30,20
639,0,2000,700,0.01,-360,-330,-360,-330,50,80,60,80,0,0
664,0,2000,1650,0.01,-360,-330,-360,-330,50,80,60,80,0,0
625,0,2000,1100,0.01,-366,-330,-350,-330,50,80,60,80,15,-4
599,0,2000,1250,0.01,-360,-330,-360,-330,50,80,50,70,0,0
598,0,2000,1250,0.01,-360,-330,-360,-330,50,80,60,80,20,-10
653,0,2000,1255,0.01,-360,-330,-360,-330,50,80,60,80,0,0
716,0,2000,1250,0.01,-360,-330,-360,-330,50,80,60,80,30,-30
714,0,2000,500,0.01,-360,-330,-360,-330,50,80,60,80,0,0
1466,0,4000,1250,0.01,-2000,4000,-4500,3500,50,55,55,65,0,0
757,0,2000,1250,0.01,-360,-330,-360,-330,50,80,60,80,0,0
611,0,2000,1250,0.01,-360,-330,-360,-330,50,75,50,80,30,20
626,0,2000,1100,0.01,-300,-270,-360,-330,55,80,50,80,25,15
653,0,2000,1100,0.01,-360,-336,-360,-330,60,80,50,80,30,5
666,0,2000,600,0.01,-360,-330,-360,-330,50,80,60,80,0,0
636,0,2000,1250,0.01,-360,-330,-360,-330,50,80,60,80,30,20
735,0,2000,1250,0.01,-360,-330,-360,-330,50,80,60,80,1000,2000
873,0,2000,1250,0.01,-360,-330,-360,-330,50,80,60,70,0,0
740,0,2000,1100,0.01,-366,-330,-350,-330,50,80,60,80,30,30
781,0,2000,750,0.01,-360,-330,-360,-330,50,80,60,80,30,-30
585,0,2000,1000,0.01,-360,-330,-360,-330,50,80,60,80,0,0
590,0,2000,1250,0.01,-360,-330,-360,-330,50,80,60,80,30,20
625,0,2000,1250,0.01,-360,-330,-360,-330,50,80,60,90,30,20
672,0,2000,1100,0.01,-366,-330,-340,-330,50,80,60,80,13,-2
751,0,2000,1100,0.01,-360,-300,-308,-300,-312,80,70,80,0,-20
717,0,2000,1250,0.01,-360,-330,-360,-330,50,80,50,70,0,0
714,0,2000,1300,0.01,-360,-330,-360,-330,50,80,60,80,30,20
779,0,2000,1250,0.01,-360,-330,-360,-330,50,80,50,80,30,-20
710,0,2000,1250,0.01,-400,-340,-400,-340,40,90,40,100,263.05,263.05
789,0,2000,1250,0.01,-354,-330,-350,-330,60,80,50,70,20,-10
689,0,2000,1200,0.01,-360,-330,-354,-330,50,80,60,80,-10,10
645,0,2000,1250,0.01,-354,-330,-360,-330,50,70,50,80,-30,-20
669,0,2000,1250,0.01,-374,-350,-360,-330,50,70,50,80,33,10
590,0,2000,1250,0.01,-360,-330,-360,-330,50,80,60,80,30,20
592,0,2000,1250,0.01,-360,-330,-360,-330,50,80,50,70,30,-30
713,0,2000,1250,0.01,-360,-330,-360,-330,50,80,60,80,100,200
533,300,2000,1100,0.01,-360,-330,-360,-330,50,80,60,80,15,0
607,0,2000,1250,0.01,-366,-330,-360,-330,50,80,60,90,10,10
921,0,2000,1800,0.01,-400,-424,-360,-390,70,90,60,90,30,-50
698,0,2000,1250,0.01,-366,-330,-360,-330,50,80,50,80,23,23
711,0,2000,1100,0.01,-366,-330,-350,-330,50,80,60,80,20,-60
662,0,2000,1750,0.01,-360,-330,-360,-330,50,80,60,80,0,0
695,0,2000,1250,0.01,-360,-330,-360,-330,50,80,60,80,0,0
609,0,2000,1250,0.01,-360,-324,-360,-330,50,80,40,70,50,0
647,0,2000,1400,0.01,-360,-330,-360,-330,50,80,60,80,0,0
644,0,2000,1250,0.01,-360,-330,-360,-330,50,50.025,60,60.03,30,-20
663,0,2000,274,0.01,-360,-330,-360,-330,50,80,50,70,0,0
702,0,2000,1250,0.01,-400,-340,-400,-340,40,90,40,100,50,100
797,0,2000,1250,0.01,-360,-330,-360,-330,55,80,50,80,30,-20
769,0,2000,500,0.01,-360,-330,-360,-330,50,80,60,80,0,0
611,0,2000,1250,0.01,-360,-330,-360,-330,50,80,50,70,0,0
663,0,2000,1250,0.01,-336,-300,-320,-300,50,80,60,80,30,10
582,0,2000,1250,0.01,-360,-330,-360,-330,50,80,60,80,30000,20000
606,0,2000,1250,0.01,-360,-330,-360,-330,50,80,50,70,0,0
639,0,2000,1250,0.01,-400,-376,-380,-340,60,80,40,80,50,30
587,0,2000,1300,0.01,-360,-330,-360,-330,50,80,60,80,0,0
775,0,2000,1750,0.01,-360,-330,-360,-330,50,80,60,80,0,0
801,0,2000,500,0.01,-360,-330,-360,-330,50,80,60,80,0,0
