runtime,in01,in02,in03,in04,in05,in06,in07
228,46.5,1.5,0.8,0.0015,0.002,1,0
231,48.36791,1.5,0.8,0.0015,0,1,0
294,48,1.5,0.8,0.0015,0,1,0
296,48.1,1.5,0.8,0.0015,0.001,1,0
4,47.10526316,1.5,0.8,0.0015,0.001,1,0
4,48.3754,1.5,0.8,0.0015,0,1,0
272,46.887,1.5,0.8,0.0015,0,1,0
213,49.2,1.5,0.8,0.0015,0.001,1,0
270,45,1.5,0.8,0.0015,0.001,1,0
235,49.4,1.5,0.8,0.0015,0.001,1,0
203,145.108,1.5,0.8,0.0015,0,1,0
230,47.3,1.5,0.8,0.0015,0.003,1,0
235,96.68421053,1.5,0.8,0.0015,0.001,1,0
363,48.93435,1.5,0.8,0.0015,0.001,1,0
234,48.3,1.5,0.8,0.0015,0,1,0
231,145.1039374,1.5,0.8,0.0015,0,1,0
258,120,1.5,0.8,0.0015,0,10,1
284,48.32,1.5,0.8,0.0015,0.001,1,0
277,11.547,1.5,0.8,0.006,0,1,0
231,100,1.5,0.8,0.0015,0.001,1,0
1675,49.25,1.5,0.8,0.0015,0.005,1,0
286,145.1039491,1.5,0.8,0.0015,0.001,0.8,0
261,48.36,1.5,0.8,0.0015,0.002,1,0
221,92,1.5,0.8,0.0015,0,1,0
261,40,1.5,0.8,0.0015,0,1,0
220,96.55,1.5,0.8,0.0015,0,1,0
271,144.9,1.5,0.8,0.0015,0,1,0
261,48.78947368,1.5,0.8,0.0015,0,1,0
247,50,1.1,0.8,0.0015,0,1,0
255,145.1039,1.5,0.8,0.0015,0,1,0
227,48.94736842,1.5,0.8,0.0015,0.001,1,0
248,10000,1.5,0.8,0.0015,0,1,0
248,96,1.5,0.8,0.0015,0.003,1,0
286,49.4,1.5,0.8,0.0015,0.005,1,0
231,145.14,1,1,0.0015,0,1,0
290,40.42105263,1.5,0.8,0.0015,0,1,0
265,97.24052632,1.5,0.8,0.0015,0.001,1,0
246,15.39052632,1.5,0.8,0.0015,0,1,0
327,48.32631579,1.5,0.8,0.0015,0.002,1,0
2,147.35,1.5,0.8,0.0015,0,1,0
250,49.9,1.5,0.8,0.0015,0.002,1,0
231,45,1.5,0.8,0.0015,0,1,0
242,96.73585,1.5,0.8,0.0015,0,1,0
298,48.5,1.5,0.8,0.0015,0.001,0.5,0
294,128.9473684,1.5,0.8,0.0015,0.001,1,0
246,23.09401077,1.5,0.8,0.0015,0,1,0
234,7.5,1.5,0.8,0.0015,0,1,0
270,49.8,1.5,0.8,0.0015,0,1,0
283,24,1.5,0.8,0.0015,0,15,0
326,45,1,1,0.0015,0,1,0
254,97,1.5,0.8,0.0015,0,1,0
357,48.6,1.5,0.8,0.0015,0.001,1,0
401,47.98473684,1.5,0.8,0.0015,0.002,1,0
266,48.07,1.5,0.8,0.0015,0.001,1,0
284,53,1.5,0.8,0.0015,0.001,1,0
299,7.46,1.5,0.8,0.0015,0,1,0
389,95,1.5,0.8,0.0015,0.3,1,0
307,47.368,1.5,0.8,0.0015,0.001,0.7,0
322,47.1,1.5,0.8,0.0015,0.001,1,0
346,48.75,1.5,0.8,0.0015,0.001,1,0
234,48.1,1.5,0.8,0.0015,0.005,1,0
248,48.29,1.5,0.8,0.0015,0.001,1,0
300,50.85,1.5,0.8,0.0015,0,1,0
313,47,1.5,0.8,0.0015,0,1,0
227,48.24,1.5,0.8,0.0015,0,1,0
217,5,1.5,0.8,0.0015,0,10,0
234,48.21798305,1.5,0.8,0.0015,0.001,1,0
230,48,1.5,0.8,0.0015,0,1,0
240,47,1.5,0.8,0.0015,0.001,0.0000001,0
246,96.742,1.5,0.8,0.0015,0,0.04,0
254,96.68,1.5,0.8,0.0015,0,1,0
306,7.56,1.5,0.8,0.0015,0,1,0
273,48.7,1.5,0.8,0.0015,0.01,1,0
258,48.3635,1.5,0.8,0.0015,0.001,1,0
271,15.4,1.5,0.8,0.0015,0,1,0
228,145,1.5,0.8,0.0015,0.001,1,0
249,101.5,1.5,0.8,0.0015,0,1,0
227,95,1.5,0.8,0.0015,0,1,0
306,48.86,1.5,0.8,0.0015,0.003,1,0
316,145.104,1.5,0.8,0.0015,0,1,0
3,160.3585263,1,1,0.0015,0.01,1,0
333,48.36857895,1.5,0.8,0.0015,0,1,0
231,96.73565263,1.5,0.8,0.0015,0,1,0
247,49.47,1.5,0.8,0.0015,0.002,1,0
318,48.46842105,1.5,0.8,0.0015,0,1,0
241,14,1.5,0.8,0.0015,0.001,1,0
295,48.9,1.5,0.8,0.0015,0.001,0.0000001,0
233,47.9,1.5,0.8,0.0015,0.001,1,0
298,96.2,1.5,0.8,0.0015,0,1,0
280,46.188,1.5,0.8,0.0015,0.001,1,0
247,49.9,1.5,0.8,0.0015,0.002,1,0
270,48.1,1.5,0.8,0.0015,0.002,1,0
305,48.2,1.5,0.8,0.0015,0.001,1,0
1724,96.3,1.5,0.8,0.0015,0,1,0
284,95,1.5,0.8,0.0015,0.001,1,0
245,49.8,1.5,0.8,0.0015,0.003,1,0
293,49.6,1.5,0.8,0.0015,0.001,1,0
283,97,1.5,0.8,0.0015,0,1,0
293,144.104,1.5,0.8,0.0015,0,1,0
3,80,1,0.8,0.003,0,1,0
298,48.3786,1.5,0.8,0.0015,0,1,0
232,48.2,1.5,0.8,0.0015,0.001,1,0
232,47.3,1.5,0.8,0.0015,0.001,1,0
217,98,1.5,0.8,0.0015,0.001,1,0
287,48.1,1.5,0.8,0.0015,0,1,0
262,48.3679,1.5,0.8,0.0015,0,1,0
233,41.93641053,1.5,0.6,0.0015,0,1,0
238,100.006,1.5,0.8,0.0015,0,1,0
279,43.3,1.5,0.8,0.0015,0.001,1,0
263,48.4,1.5,0.8,0.0015,0.02,1,0
246,48.368,1.5,0.8,0.0015,0,1,0
271,75,1.5,0.8,0.0015,0,1,0
224,180,1.5,0.8,0.0015,0,1,0
242,45,1.5,0.8,0.0015,0.001,1,0
216,47.2,1,1,0.0015,0,1,0
265,150,1.5,0.8,0.0015,0.001,1,0
218,55,1.5,0.8,0.0015,0.001,1,0
269,47.5,1.5,0.8,0.0015,0,1,0
250,32,1.5,0.8,0.0015,0.001,1,0
363,100,1.5,0.8,0.0015,0,1,0
282,17,1.5,0.8,0.0015,0.01,1,0
274,45,1.5,0.8,0.0015,0.001,1,0
282,48.7,1.5,0.8,0.0015,0.002,1,0
246,153.1,1.5,0.8,0.0015,0,1,0
238,0.052631579,1.5,0.8,0.0015,0.001,0.0000001,0
241,100,1.5,0.8,0.002,0,1,0
323,49.6,1.5,0.8,0.0015,0.004,1,0
240,46.8,1.5,0.8,0.0015,0.002,1,0
286,96.8,1.5,0.8,0.0015,0,1,0
222,46.9,1.5,0.8,0.0015,0.003,1,0
247,143,1.4,0.8,0.0015,0,1,0
244,48,1,1,0.0015,0,1,0
306,104,1.5,0.8,0.0015,0.001,1,0
230,7.55,1.5,0.8,0.0015,0.001,1,0
267,49,1.5,0.8,0.0015,0.003,1,0
232,145.15,1.5,0.8,0.0015,0,1,0
271,150,1.5,0.8,0.0015,0,1,0
271,146.4,1.5,0.8,0.0015,0,1,0
239,60,1,1,0.0015,0,1,0
258,60,5,1,0.0015,10,100,0
275,48.93405,1.5,0.8,0.0015,0.001,1,0
242,3684.210526,1.5,0.8,0.0015,0,1,0
272,30,1.5,0.8,0.0015,0,30,0
289,61,1.5,0.8,0.0015,0,1,0
283,145.2,1.5,0.8,0.0015,0,1,0
4,48.49,1.5,0.8,0.0015,0.001,0.01,0
350,63.15789474,1.5,0.8,0.0015,0,1,0
223,97.2,1.5,0.8,0.0015,0,1,0
230,0.210526316,1.5,0.8,0.0015,0.001,0.0000001,0
232,48.42,1.5,0.8,0.0015,0,1,0
222,48,1.5,0.8,0.0015,0.001,1,0
300,20,1.5,0.8,0.0015,0.001,1,0
276,96.31578947,1.5,0.8,0.0015,0,1,0
277,48.36794737,1.5,0.8,0.0015,0,1,0
3,96.7,1.5,0.8,0.0015,0,1,0
306,47.5,1.5,0.8,0.0015,0.002,1,0
282,58,1.5,0.8,0.0015,0,1,0
344,260,1.5,0.8,0.0015,0,1,0
1443,48.36707895,1.5,0.8,0.0015,0.001,1,0
243,145.1039491,1.5,0.8,0.0015,0,1,0
288,48.37,1.5,0.8,0.0015,0,1,0
288,49.5,1.5,0.8,0.0015,0.001,1,0
332,96.73583684,1.5,0.8,0.0015,0,1,0
237,50,0.8,1.5,0.0015,0.001,1,0
248,145.4263158,1.5,0.8,0.0015,0.001,1,0
4,0,1.5,0.8,0.0015,0.001,1,0
225,48.5,1.5,0.8,0.0015,0.001,1,0
266,56,1.5,0.8,0.0015,0.001,1,0
232,5789.473684,1.5,0.8,0.0015,0,1,0
243,48.086,1.5,0.8,0.0015,0.005,1,0
220,50.7,1.5,0.8,0.0015,0.001,1,0
239,48.22,1.5,0.8,0.0015,0.001,1,0
268,47.5,1.5,0.8,0.0015,0.001,1,0
241,48.69473684,1.5,0.8,0.0015,0.002,1,0
222,96.8,1.5,0.8,0.0015,0,1,0
226,30,1.5,0.8,0.0015,0,1,0
288,48,1.5,0.8,0.0015,0.002,1.5,0
277,53.56315789,1.5,0.8,0.0015,0,1,0
226,96.74,1.5,0.8,0.0015,0,0.1,0
4,48.368,1.5,0.8,0.0015,0.002,1,0
225,44.17,1.5,0.8,0.0018,0,1,0
384,65,1.5,0.8,0.0015,0.5,1,0
387,48.34,1.5,0.8,0.0015,0,1,0
363,56.84210526,1.5,0.8,0.0015,0.001,1,0
317,48.3664,1.5,0.8,0.0015,0,1,0
241,3.849001795,1.5,0.8,0.0015,0,0,0
354,48.38947368,1.5,0.8,0.0015,0,1,0
331,65.78947368,1.5,0.8,0.0015,0.0001,1,0
218,47.9,1.5,0.8,0.0015,0.002,1,0
238,60,1.5,0.8,0.0015,0,1,0
279,17,1.5,0.8,0.0015,0.002,1,0
258,143.4210526,1.5,0.8,0.0015,0,1,0
220,48.5,1.5,0.8,0.0015,0,1,0
267,96.04,1.5,0.8,0.0015,0.001,1,0
7,40,1.5,0.8,0.0015,0.005,1,0
264,47.9,1.5,0.8,0.0015,0.002,1,0
281,96.9,1.5,0.8,0.0015,0.001,1,0
235,48.36798589,1.5,0.8,0.0015,0,1,0
225,60,1,1,0.0015,0,1,0
259,146.0039491,1.5,0.8,0.0015,0.001,1,0
4,48.08,1.5,0.8,0.0015,0.001,1,0
303,7.698,1.5,0.8,0.0015,0,1,0
244,30,1.5,0.8,0.0015,0,1,10
383,35,1.5,0.8,0.0015,0.005,1,0
215,96.1,1.5,0.8,0.0015,0.001,0.5,0
232,80,1.5,0.8,0.0015,0.001,1,0
218,42.6,1.5,0.8,0.0015,0.001,1,0
232,48.3,1.5,0.8,0.0015,0,1,0
251,48.368,1.5,0.8,0.0015,0.001,1,0
253,48.46,1.5,0.8,0.0015,0,1,0
237,26,1.5,0.8,0.0015,0,1,0
253,48.32,1.5,0.8,0.0015,0,1,0
286,48.6,1.5,0.8,0.0015,0.005,1,0
295,178.9473684,1.5,0.8,0.0015,0.001,1,0
263,48.06315789,1.5,0.8,0.0015,0.0005,1,0
212,47.87,1.5,0.8,0.0015,0.001,1,0
264,96.9,1,1,0.0015,0,1,0
214,47.3,1.5,0.8,0.0015,0.01,1,0
228,48.36336842,1.5,0.8,0.0015,0,1,0
251,48.4,1.5,0.8,0.0015,0,1,0
372,33,1.5,0.8,0.0015,0,1,0
272,48.2,1.5,0.8,0.0015,0.002,1,0
3,47.79,1.5,0.8,0.0015,0.001,1,0
4,40.6,1.5,0.8,0.0015,0.003,1,0
239,13,1.5,0,0.0015,0,1,0
257,48.385,1.5,0.8,0.0015,0.002,1,0
237,42.10526316,1.5,0.8,0.0015,0.001,10,0
603,145.15,1.5,0.8,0.0015,0,1,0
266,145.1039491,1.5,0.8,0.0015,0.001,1,0
290,47.94736842,1.5,0.8,0.0015,0.0005,1,0
242,46,1.5,0.8,0.0015,0,1,0
3,96,1.5,0.8,0.0015,0,1,0
247,60,1.5,0.8,0.0015,0,1,0
223,48.71052632,1,1,0.0015,0.001,1,0
269,60,1,1,0.0015,0,1,0
280,35,1.5,0.8,0.0015,0.05,1,0
239,48.37,1.5,0.8,0.0015,0,1,0
235,94.73684211,1.5,0.8,0.0015,0.001,1,0
249,48.95,1.5,0.8,0.0015,0.001,1,0
