runtime,in01,in02,in03,in04,in05,in06,in07,in08,in09,in10,in11,in12,in13,in14,in15,in16,in17,in18,in19
1282,A06,0.5,5000000,0.00001,10000,3,1,1,1,-8,-6,-4,-2,0,2,4,6,8,10
11079,A06,0.3,240000,0.00001,50000,3,1,4,10,0,1,2,3,4,5,6,7,8,9
456,A04,0.2,3000000,0.000001,3000,3,1,1,1,12,0,0,0,0,0,0,0,0,0
214,A04,0.75,1000000,0.000001,3000,3,1,1,3,6,10,16,0,0,0,0,0,0,0
2806,A04,0.2,3000000,0.000001,50000,3,1,1,1,9,0,0,0,0,0,0,0,0,0
13982,A11,0.065,65000,0.00001,50000,3,1,4,10,10,11,12,13,14,15,16,17,18,19
156,A06,0.2,3000000,0.000001,3000,3,1,1,1,5,5,5,5,5,5,5,5,5,5
1338,A06,0.2,3000000,0.000001,3000,30,1,3,10,56,58,60,62,64,66,68,70,72,74
1681,A04,0.2,3000000,0.000001,3000,3,1,1,9,0,2,4,6,8,10,12,14,16,0
115,A01,0.11,2400,0.000001,3000,30,1,1,1,0,0,0,0,0,0,0,0,0,0
1370,A06,0.04,40000,0.00001,50000,3,1,4,1,11,13,15,17,19,21,23,27.5,32.5,37.5
218,A04,0.2,3000000,0.000001,3000,3,1,1,1,0,0,0,0,0,0,0,0,0,0
816,A06,0.2,3000000,0.000001,3000,3,1,1,5,0,2,4,6,8,0,0,0,0,0
185,A06,0.2,3000000,0.000001,3000,3,1,1,1,0,2,4,6,8,10,12,14,16,0
168,A04,0.2,3000000,0.000001,3000,3,1,1,1,0,0,0,0,0,0,0,0,0,0
3755,A06,0.04,40000,0.00001,50000,60,1,4,1,11,13,15,17,19,21,23,27.5,32.5,37.5
119,A04,0.2,3000000,0.000001,3000,3,1,1,1,0,0,0,0,0,0,0,0,0,0
27414,A06,0.0588,40166,0.0000001,50000,30,1,1,8,0,5,10,15,20,25,30,35,0,0
13304,A06,0.35,280000,0.00001,50000,3,1,4,10,0,1,2,3,4,5,6,7,8,9
32160,A06,0.2,3000000,0.000001,30000,3,1,1,9,0,2,4,6,8,10,12,14,16,0
1036,A06,0.2,3000000,0.000001,3000,3,1,1,9,0,2,4,6,8,10,12,14,16,0
9881,A09,0.5,500000,0.00001,50000,3,1,4,10,0,1,2,3,4,5,6,7,8,9
3060,A05,0.2,3000000,0.000001,30000,3,1,1,1,0,1,2,3,4,5,0,0,0,0
2406,A04,0.2,3000000,0.000001,3000,3,1,1,9,0,2,4,6,8,10,12,14,16,0
35173,A09,0.0588,40166,0.0000001,50000,30,1,1,8,0,5,10,15,20,25,30,35,0,0
267,A03,0.0034,155719,0.000001,3000,30,1,1,1,10,10,10,10,10,10,10,10,10,10
11106,A06,0.2,3000000,0.000001,30000,3,1,1,9,0,2,4,6,8,10,12,14,16,0
30051,A05,0.2,3000000,0.000001,30000,3,1,1,10,0,1,2,3,4,0,0,0,0,0
1173,A04,0.2,3000000,0.000001,3000,3,1,1,9,-20,-15,-10,-5,0,5,10,15,20,0
179,A12,0.2,155719,0.000001,3000,30,1,1,1,30,30,30,30,30,30,30,30,30,30
6220,A05,0.2,3000000,0.000001,30000,3,1,1,1,0,1,2,3,4,0,0,0,0,0
1558,A06,0.2,3000000,0.000001,3000,30,1,3,10,54,54.2,54.4,54.6,54.8,55,55.1,55.2,55.3,55.4
24748,A04,0.2,3000000,0.000001,3000,3,1,1,10,0,2,4,6,8,10,12,14,16,20
7141,A09,0.26,260000,0.00001,50000,3,1,4,10,0,1,2,3,4,5,6,7,8,9
431,A06,0.2,3000000,0.000001,3000,3,1,1,1,6,0,0,0,0,0,0,0,0,0
16932,A10,0.39,390000,0.00001,50000,3,1,4,10,10,11,12,13,14,15,16,17,18,19
7558,A11,0.13,130000,0.00001,60000,3,1,4,10,0,2,4,6,7,8,10,12,14,16
35152,A05,0.0588,40166,0.0000001,50000,30,1,1,8,0,5,10,15,20,25,30,35,0,0
7076,A10,0.26,260000,0.00001,50000,3,1,4,10,0,1,2,3,4,5,6,7,8,9
1336,A06,0.3,3000000,0.000001,3000,30,1,3,10,56,58,60,62,64,66,68,70,72,74
652,A06,0.2,3000000,0.000001,3000,3,1,1,1,14,0,0,0,0,0,0,0,0,0
8716,A09,0.39,390000,0.00001,50000,3,1,4,10,0,1,2,3,4,5,6,7,8,9
13492,A06,0.04,40000,0.00001,50000,3,1,4,10,3,7,18,20,22,25,30,35,40,45
116,A10,0.11,2400,0.000001,3000,30,1,1,1,0,0,0,0,0,0,0,0,0,0
