runtime,in01,in02,in03,in04,in05,in06,in07,in08,in09,in10,in11,in12
8,0.05,0.2,0.1,0,-0.08,0.5,0.2,0,-0.05,0.6,0.05,0
4,0.1,0.21,0.04,0,-0.1,0.58,0.11,0,0.1,0.62,0.43,0
4,0.005,0.2,0.3,0,0.005,0.6,0.6,0,-0.007,0.6,0.2,0
6,0.1,0.3,0.2,0,-0.1,0.445,0.35,0,-0.1,1,0.6,0
7,0.1,0.2,0.1,0,-0.1,0.3,0.1,0,0.1,0.4,0.6,0
4,0.1,0.06,0,0,-0.1,-0.075,0.3,0,0,0.8,0.1,0
4,0.05,0.2,0.1,0,-0.05,0.42,0.35,0,0.03,0.8,0.35,0
5,-0.07,0.18,0.4,0,-0.1,0.5,0.37,0,-0.03,0.58,0,0
4,0.1,0.26,0.03,0,-0.1,0.67,0.01,0,0.1,0.78,0.57,0
6,-0.1,0.05,0.48,0,-0.1,0.39,0.35,0,-0.1,0.585,0.35,0
6,0.04,0.17,0.2,0,-0.04,0.5,0.2,0,0.07,0.8,0.4,0
6,0.1,0.99,0.59,0,-0.1,-0.05,0.41,0,0.1,-0.08,0.52,0
5,0.1,0.3,0.17,0,-0.1,0.5,0.1,0,0.1,0.5,0.43,0
5,0.1,0.26,0.15,0,-0.1,0.5,0.3,0,0.1,0.9,0.26,0
6,0.1,0.3,0.11,0,-0.1,0.525,0.21,0,0.1,0.927,0.315,0
7,0.1,0.1,0.1,0,-0.1,0.5,0.3,0,0.1,0.6,0.1,0
4,0.1,0.3,0.1,0,0.1,0,0.4,0,0.1,0.8,0.2,0
6,0.1,0.344,0.13,0,-0.1,0.45,0,0,0.1,0.95,0.4,0
7,0.1,0.24,0.08,0,-0.1,0.5,0.3,0,-0.1,0.5,0.09,0
6,0.1,0.2,0.1,0,-0.1,0.5,0.2,0,0.1,0.8,0.1,0
5,0.02,0.2,0.23,0,-0.03,0.5,0.2,0,0.01,0.6,0.4,0
5,0.1,0.25,0.07,0,-0.1,0.36,0.35,0,-0.1,0.9,0.08,0
7,0.1,0.21,0.05,0,-0.1,0.3,0.19,0,0.1,0.935,0.2,0
7,0.1,0.25,0.08,0,-0.1,0.45,0.35,0,0.1,0.8,0.1,0
5,0.1,0.38,0.25,0,-0.1,0.4,0.24,0,0.1,0.8,0.1,0
4,0.1,0.25,0.05,0,-0.1,0.45,0.155,0,0.1,0.75,0.55,0
7,0,0.1,0.05,0,0.1,0.1,0.1,0,-0.04,0.1,0.15,0
6,0.1,0.2,0.07,0,-0.1,0.3,0.4,0,0,0.8,0.1,0
7,0.04,0.2,0.1,0,-0.04,0.5,0.2,0,0.022,0.8,0.1,0
5,0.1,0.2,0.1,0,-0.1,0.3,0.4,0,-0.1,0.5,0.1,0
4,0.1,0.3,0.1,0,-0.1,0.4,0.25,0,-0.1,0.8,0.2,0
5,0.1,0.2,0.01,0,-0.1,0.4,0.4,0,0.1,0.8,0.1,0
4,0.1,0.21,0.11,0,-0.1,0.31,0.39,0,0.1,0.91,0.58,0
6,0.1,0.06,0,0,-0.0945,-0.072,0.3,0,-0.08,0.728,0.25,0
7,-0.1,-0.1,0.55,0,0.1,0.95,0.55,0,-0.1,0.95,0,0
5,0.04,0.2,0.1,0,-0.04,0.5,0.2,0,0.018,0.8,0.1,0
6,0.1,0.26,0.1,0,-0.1,0.54,0.27,0,-0.1,0.8,0.11,0
4,0.05,0.2,0.1,0,-0.07,0.5,0.2,0,0.01,0.8,0.2,0
6,0.05,0.2,0.15,0,-0.07,0.4,0.15,0,0.02,0.8,0.1,0
5,0.025,0.25,0.25,0,0.03,0.9,0.2,0,0,0.8,0.1,0
8,0.06,0.2,0.1,0,-0.1,0.5,0.2,0,-0.02,0.7,0.1,0
6,-0.1,0.15,0.5,0,-0.1,0.35,0.35,0,-0.1,0.55,0.5,0
5,0.1,0.2,0.05,0,-0.1,0.5,0.22,0,0.1,0.8,0.1,0
4,0.1,0.25,0.1,0,-0.1,0.5,0.2,0,0.1,0.8,0.1,0
6,0.1,-0.06,0,0,-0.1,0.35,0.3,0,0.1,0.9,0.4,0
8,0.09,0.28,0.2,0,-0.09,0.45,0.25,0,-0.08,0.52,0.15,0
6,0.1,0.22,0.01,0,0.1,0.99,0.12,0,-0.1,0.34,0.4,0
5,0.1,0.2,0.07,0,-0.1,0.25,0.43,0,0.1,0.6,0.2,0
5,-0.03,0.55,0.3,0,0.07,0.07,0.1,0,-0.07,0.07,0.15,0
6,0.1,0.26,0.1,0,-0.1,0.6,0.6,0,-0.1,0.8,0.1,0
6,-0.1,0.1,0.6,0,-0.1,0.1,0.6,0,0.1,0.3,0.15,0
4,0,0.2,0.1,0,0,0.5,0.2,0,0,0.8,0.1,0
4,-0.1,0.4,0.1,0,-0.1,-0.05,0.34,0,-0.1,0.91,0.6,0
6,0.1,0.2,0.2,0,-0.1,0.18,0.4,0,-0.1,0.4,0.36,0
5,0.1,0.1,0.3,0,-0.1,0.2,0.1,0,0.1,0.65,0.59,0
6,0.1,0.8,0.5,0,-0.1,0.3,0.3,0,0.1,0.4,0.03,0
4,0.1,0.27,0.23,0,-0.1,0.5,0.2,0,-0.1,0.5,0.05,0
7,0.1,0.2,0.1,0,-0.1,0.5,0.2,0,0.1,0.8,0.1,0
4,0.1,0.4,0.1,0,-0.06,0.5,0.2,0,0.1,0.8,0.1,0
7,-0.1,0.4,0.13,0,0.1,1,0,0,0.1,0.7,0.13,0
8,0.1,-0.1,0.6,0,-0.1,0.4,0.15,0,0.1,0.8,0.1,0
7,0.05,0.26,0.2,0,-0.06,0.42,0.32,0,0.08,0.62,0.24,0
4,-0.1,0.2,0.1,0,-0.1,0.5,0.2,0,0.1,0.8,0.1,0
6,0.1,-0.2,0.1,0,-0.1,0.3,0.4,0,0.1,0.8,0.1,0
6,-0.1,0,0.5,0,-0.1,0.6,0.2,0,0.1,0.5,0.2,0
6,0.1,0.28,0.029,0,-0.1,0.49,0.35,0,0.1,0.61,0.011,0
4,0.1,0.35,0.2,0,-0.1,0.9,0.5,0,0.1,0.8,0.1,0
8,0.1,0.28,0.21,0,-0.1,0.46,0.29,0,-0.1,0.57,0.17,0
4,0.07,0.25,0.05,0,-0.1,0.55,0.33,0,0.04,0.73,0.1,0
4,0.1,0.2,0.1,0,-0.1,0.5,0.2,0,0.1,0.8,0.1,0
5,0.1,0.27,0.01,0,-0.1,0.5,0.2,0,0.1,0.8,0.1,0
5,-0.1,0,0.37,0,-0.1,0.43,0.308,0,-0.1,0.61,0,0
4,0.1,0,0.55,0,0.1,0.3,0.23,0,-0.1,0.45,0.335,0
5,0.05,0.2,0.1,0,-0.075,0.5,0.2,0,0.01,0.8,0.2,0
6,0.1,0.5,0.57,0,-0.1,0.64,0.49,0,-0.1,0.12,0.51,0
5,0.1,0.2,0.1,0,-0.05,0.5,0.2,0,0.05,0.9,0.1,0
6,0.01,0.12,0.2,0,-0.01,0.63,0.43,0,0.05,0.56,0.05,0
6,0.1,0.2,0.1,0,-0.1,0.25,0.48,0,-0.1,0.68,0.3,0
5,0.1,0.3,0.2,0,-0.1,0.3,0.1,0,-0.1,0.45,0.2,0
6,0.1,0.4,0,0,-0.1,0.5,0.2,0,0.1,1,0.1,0
4,0.1,0.3,0.1,0,-0.1,0.6,0.2,0,0.1,0.8,0.1,0
7,0.1,0.25,0.1,0,-0.1,0.47,0.23,0,-0.1,0.63,0.11,0
6,0.1,0.3,0.07,0,-0.1,0.55,0.04,0,0.1,0.9,0.3,0
5,-0.1,0.49,0.55,0,-0.1,0.65,0.13,0,-0.1,0.12,0.53,0
7,0.01,0.29,0.3,0,-0.006,0.8,0.5,0,-0.1,0.57,0,0
8,0.1,0.3,0.2,0,-0.1,0.36,0.12,0,0.1,0.9,0.55,0
5,0.05,0.26,0.2,0,-0.04,0.42,0.32,0,-0.05,0.5,0.26,0
7,0.1,-0.1,0.6,0,0.1,0.3,0.2,0,0.1,0.65,0.6,0
5,0.1,-0.18,0.54,0,0.1,0.32,0.16,0,0.1,0.84,0.56,0
7,0.04,0.18,0.18,0,-0.1,0.5,0.2,0,0.02,0.78,0.1,0
4,0.1,0.3,0.1,0,-0.1,0.5,0.2,0,0,0.8,0.1,0
8,0.1,0.3,0.2,0,-0.1,0.3,0.1,0,-0.1,0.5,0.2,0
6,0.1,0.3,0.1,0,-0.1,0.5,0.2,0,0.1,1,0.05,0
7,0.1,0.3,0.05,0,-0.1,0.5,0.2,0,0.1,0.94,0.52,0
5,0.03,0.2,0.19,0,-0.028,0.5,0.28,0,0.03,0.5,0.5,0
5,0.1,0.23,0.14,0,-0.1,0.51,0.24,0,0.1,0.84,0.12,0
5,0.04,0.19,0.17,0,-0.1,0.5,0.2,0,0.02,0.79,0.1,0
5,0.05,0.28,0.2,0,-0.06,0.5,0.2,0,0.08,0.8,0.1,0
4,0.1,0.39,0.55,0,-0.1,0.72,0.18,0,-0.1,0.19,0.52,0
4,0.1,1,0,0,-0.1,0.5,0.6,0,0.1,0.8,0.1,0
4,0.1,0.3,0.13,0,-0.1,0.6,0.1,0,0.1,0.9,0.1,0
6,0.1,0.25,0.07,0,-0.1,0.4,0.08,0,0.1,0.62,0.6,0
6,0.06,0.2,0.1,0,-0.07,0.5,0.2,0,-0.04,0.72,0.1,0
6,0.0181,0.11,0.02,0,-0.031,0.26,0.21,0,0.031,0.312,0.08,0
7,0.1,0.95,0.41,0,-0.1,-0.06,0.38,0,0.1,-0.11,0.5,0
6,0.1,-0.15,0.55,0,-0.1,0.1,0.35,0,-0.1,0.4,0.05,0
4,0.1,0.2,0.4,0,-0.1,0.5,0.3,0,0.1,0.6,0.43,0
6,0.1,0.2,0.14,0,-0.1,21,0.12,0,0.1,0.8,0.6,0
4,0.1,0,0.55,0,0.1,0.3,0.23,0,-0.1,0.45,0.34,0
8,0.1,0.27,0.1,0,-0.1,0.44,0.23,0,0.1,0.8,0.1,0
3,0.1,0.25,0.55,0,-0.1,0.35,0.25,0,0.1,0.8,0.1,0
4,0.1,0.3,0.13,0,-0.1,0.5,0.1,0,0.1,0.9,0.1,0
7,0.1,0.2,0,0,-0.1,0.5,0.3,0,-0.1,0.39,0.1,0
8,-0.1,0.35,0.34,0,-0.1,0.51,0.01,0,0.1,0.21,0.05,0
8,0.1,0.25,0.03,0,-0.1,0.51,0.41,0,-0.1,0.58,0.18,0
4,0.03,0.15,0.1,0,-0.06,0.55,0.05,0,0.04,0.7,0.5,0
4,0.1,0.2,0.1,0,-0.1,0.5,0.2,0,0.1,0.8,0.1,0
4,0.1,0,0.55,0,0.1,0.3,0.23,0,-0.1,0.5,0.3,0
8,0.1,0.2,0.2,0,0.1,0.4,0.2,0,0.1,0.7,0.25,0
6,-0.03,0.55,0.3,0,0.06,0.07,0.1,0,-0.06,0.07,0.15,0
7,0.01,0.29,0.3,0,-0.0005,0.8,0.5,0,-0.1,0.57,0,0
4,0.1,0.25,0.05,0,-0.1,0.45,0.15,0,0.1,0.75,0.55,0
4,-0.1,0.2,0.5,0,-0.1,0.2,0.5,0,-0.1,0.2,0.5,0
5,0.05,0.2,0.1,0,-0.1,0.5,0.2,0,-0.05,0.8,0.1,0
6,-0.1,-0.2,0.5,0,0.1,0.35,0.1,0,0.1,0.8,0.2,0
6,0.1,0.3,0.19,0,-0.1,0.48,0.34,0,0.1,0.42,0.04,0
6,0.041,0.13,0.11,0,-0.065,0.34,0.23,0,0.065,0.49,0.13,0
5,0.1,0.3,0.03,0,-0.1,0.449,0.31,0,0.1,0.97,0.03,0
6,0.1,0.29,0.17,0,-0.1,0.45,0.2,0,0.1,0.84,0.54,0
7,-0.1,0.2,0.1,0,-0.1,0.4,0.1,0,0.1,0.3,0.2,0
5,0.1,0.17,0.05,0,-0.1,0.41,0.15,0,0.1,0.66,0.15,0
5,-0.1,0.24,0.38,0,0.1,0.125,0.59,0,-0.1,0.25,0.49,0
7,0.1,0.25,0.1,0,-0.1,0.47,0.23,0,-0.1,0.64,0.18,0
7,0.1,0.2,0,0,-0.1,0.4,0.2,0,0.1,0.3,0.2,0
4,-0.1,0.1,0.3,0,-0.1,0.5,0.2,0,0.1,0.8,0.1,0
4,0.1,0.22,0.02,0,-0.1,0.42,0.33,0,0.1,1.05,0.63,0
4,-0.1,-0.2,0.1,0,-0.1,0.4,0.5,0,-0.1,0.6,0.2,0
7,0.02,0.18,0.21,0,0.02,0.41,0.19,0,0.048,0.58,0.59,0
9,0.1,0.2,0.2,0,0.1,0.4,0.2,0,0.1,0.7,0.33,0
4,0.1,0.2,0.1,0,-0.1,0.4,0.22,0,0.1,1,0.6,0
6,0.1,0.31,0.1,0,-0.1,0.51,0.2,0,0.1,0.95,0.55,0
7,0.1,0.2,0.095,0,-0.1,0.25,0.48,0,-0.1,0.5,0.52,0
6,0.1,0.28,0.32,0,-0.1,0.49,0.33,0,-0.1,0.61,0.011,0
4,0.1,0.47,0.53,0,-0.1,0.69,0.23,0,-0.1,0.15,0.49,0
4,0.1,0.25,0.15,0,-0.1,0.48,0.02,0,0.1,0.82,0.56,0
5,0.058,0.19,0.04,0,-0.0085,0.268,0.42,0,-0.0568,0.49,0.28,0
5,0.1,0.3,0.04,0,-0.1,0.449,0.31,0,0.05,1,0.01,0
8,-0.1,0.3,0.4,0,-0.1,0.4,0.55,0,0.1,0.8,0.1,0
7,0.1,0.21,0.18,0,0.1,-0.08,0.52,0,-0.1,0.51,0.23,0
5,0.1,0.2,0.1,0,-0.1,0.7,0.2,0,-0.1,0.9,0.1,0
6,0.1,-0.03,0.31,0,-0.1,0.44,0.3,0,0.1,0.8,0.1,0
5,0,0.2,0.3,0,-0.1,0.45,0.3,0,0.1,0.7,0.45,0
6,0.05,0.3,0.3,0,0,0.5,0.2,0,0,0.8,0.1,0
6,0.02,0.26,0.2,0,-0.04,0.42,0.32,0,0.05,0.5,0.3,0
3,0.1,0.4,0.1,0,-0.1,0.55,0.39,0,0.1,0.45,0.05,0
6,0,0,0,0,0.01,0.33,0.59,0,0,0,0,0
6,0.1,0.19,0.15,0,-0.1,0.5,0.1,0,0.1,0.5,0.43,0
7,0.1,0.27,0.05,0,-0.1,0.4,0.33,0,0.06,0.92,0.05,0
7,0.1,0.289,0.13,0,-0.1,0.415,0.072,0,0.1,0.89,0.28,0
5,0.1,0.3,0.05,0,-0.1,0.5,0.1,0,0.1,0.95,0.05,0
6,0.1,0.21,0.1,0,0,0.5,0.2,0,0,0.8,0.1,0
4,0.1,0.25,0.1,0,-0.1,0.36,0.35,0,-0.1,0.9,0.08,0
6,0.1,0.17,0.07,0,-0.1,0.25,0.38,0,0.1,0.93,0.33,0
6,0.035,0.2,0.1,0,-0.03,0.5,0.2,0,0.045,0.8,0.1,0
5,0.03,0.2,0.23,0,-0.08,0.6,0.3,0,0,0.8,0.1,0
6,0.1,0.17,0.05,0,-0.1,0.35,0.18,0,0.1,0.4,0.28,0
