runtime,in01,in02,in03,in04
1016,38.7,82.69,12.69,81.1
3439,38.05,-3,90,-179.9
4550,37.5,85,0,81
9017,38.3,90,0,102.9
5176,38,30,0,10
4652,39,100,0,123.46
2736,38,60,0,41.8
2401,30,60,135,90
2626,39,80,0,97.5
1165,38.5,85,90,45.3
2337,38.7,82.69,12.69,84.1
2378,38.7,82.69,12.69,77.1
819,38.7,82.69,12.69,79
5583,38.5797,-90,0,82.8384
2585,39,30,12.69,84.1
2986,37.8,90,90,50.55
4299,39,-180,-180,30
1117,37,-42,0,-126
703,38.5,90,0,102.111
2520,38.2,0,0,0
26822,38.7,89.9,19.7,83
4752,38.7,90,0,83
1294,37.8,150,0,-115.1
1181,38.7,82.69,12.69,75.25
768,37.8,30,0,-7.9
23050,38.7,60,0,46.6
8292,37,95,10,82
5260,36,80,0,80
4986,39,88,90,54.5
28809,38.7,82.69,12.69,81.5
2712,38.5,-105,5,45
2785,38.7,90,0,0
1468,38,44.8,0,24
16749,38.7,48,5,30
1151,10,82.69,12.69,84.1
982,37.8,30,0,-7.8
2526,38.7,74,0,70.21
2475,39,15,0,60
43,15,180,0,0
1084,38.6,90,0,112
8344,29,90,0,110
1355,38.6,90,0,101.9
2762,39,70,0,75
10797,20.24,71.58,20.56,78.21
2347,38,82.69,0,59
8781,37.5,-138,0,20
7936,38.7,120,12.69,84.1
15545,38,82.69,0,86.78
1259,38.5,90,0,83.5345
876,38.7,82.69,12.69,78.5
2989,38,80,12,62
772,38.7,82.69,12.69,84.1
7735,38.7,90,0,90
1968,39,88,12.69,84.1
9697,38,0,90,90
3711,38.7,82.69,12.69,84.1
781,38,82.69,12.69,75
1911,37.7,0,0,-52
2655,37.85,110,90,57.95
763,39,80,0,60
931,37.6,30,0,0
2587,38,85,12.69,74.8
2419,38.7,82.69,12.69,84.1
776,38.7,82.69,12.69,81.6
4465,38.7,48,0,170
976,30,82.69,12.69,84.1
317,37.78,0,0,-50.48
248,17.05,90,90,55
4558,38.7,170,65,-157.25
1857,38.7,90,0,104
2657,39,100,0,120
2118,38.7,80,15,50
31202,38.3,82.69,12.69,66
5312,25,90,0,101.09
1164,38.2,90,0,99.9
2970,33.33,80,11.33,83.33
4098,39,40,0,30
3640,39,80,0,30
2709,38.03,82.69,12.69,84.1
2173,37.95,75,0,76
866,37.77,26,0,-9.1
4968,34.98,71.58,20.56,78.21
12564,20,90,0,0
7978,38.7,100,12.69,84.1
13516,37.9,45,12.69,0.1
8090,38.7,82.69,12.69,84.1
1394,38.05,60,0,100
903,37.8,0,0,-49.6
4130,25,90,12.69,84.1
4257,38.65,82.69,12.69,75.4
1871,38.7,82.69,12.69,84.1
1184,37.5,90,0,130
7788,37.9,45,0,16.7
710,38.7,82.69,12.69,84.1
87,20,0,0,40
1771,38,88,11,86
10420,38,85,12.69,76.2
848,37.8,30,0,-7.1
4902,37.4,-180,-180,120
