runtime,in01,in02,in03,in04,in05,in06,in07,in08,in09,in10,in11,in12,in13,in14,in15,in16
9,100000,0,tn2006,V241F,3,0.05,30,134,30,88000010,600,0.1,-73,-10,1.8,current
56,100000,0,tn2006,V241F,1,0.05,30,1000,20,100,600,0.1,-73,-10,1.8,current
5,100000,0,tn2006,ori,3,0.05,30,1000,30,88000010,600,0.1,-73,-10,1.8,current
12,100000,0,tn2006,ori,2,0.1,30,4000,30,88000010,600,0.1,-73,-10,1.8,current
5,100000,0,tn2006,ori,2,0.05,30,1000,30,88000010,600,0.1,-73,-10,1.8,current
70,40000,0,tn2006,V241F,1,0.05,20,1000,30,100,600,0.1,-73,-10,1.8,current
45,40000,0,tn2006,ori,1,0.05,10,500,30,200,600,0.1,-73,-10,1.8,current
5,100000,0,tn2006,ori,3,0.05,30,1000,30,88000010,600,0.1,-73,-10,1.8,current
107,100000,0,tn2006,ori,2,0.1,30,4000,30,3000,600,0.1,-73,-10,1.8,current
5,100000,0,tn2006,ori,1,0.05,30,1000,30,88000010,600,0.1,-73,-10,1.8,current
50,100000,0,tn2006,ori,2,0.05,30,1000,20,100,600,0.1,-73,-10,1.8,current
4,100000,0,tn2006,ori,1,0.05,30,260,30,88000010,600,0.1,-73,-10,1.8,current
54,100000,0,tn2006,V241F,1,0.05,30,1000,20,100,600,0.1,-73,-10,1.8,current
75,100000,0,tn2006,V241F,1,0.05,30,1000,20,100,600,0.1,-73,-10,1.8,current
7,100000,0,tn2006,S140G,1,0.05,30,260,30,10000,600,0.1,-73,-10,1.8,current
5,100000,0,tn2006,ori,1,0.05,20,200,30,88000010,600,0.1,-73,-10,1.8,current
51,100000,0,tn2006,ori,3,0.05,30,1000,20,100,600,0.1,-73,-10,1.8,current
5,100000,0,tn2006,S140G,1,0.05,30,260,30,88000010,600,0.1,-73,-10,1.8,current
4,40000,0,tn2006,ori,2,0.05,30,270,30,88000010,600,0.1,-73,-10,1.8,current
4,100000,0,tn2006,ori,2,0.05,30,340,30,88000010,600,0.1,-73,-10,1.8,current
29,100000,0,tn2006,V241F,2,0.05,30,1000,30,88000010,600,0.1,-73,-10,1.8,current
4,100000,0,tn2006,ori,1,0.05,30,1000,30,88000010,600,0.1,-73,-10,1.8,current
4,100000,0,tn2006,ori,1,0.05,30,260,20,10000,600,0.1,-73,-10,1.8,current
5,100000,0,tn2006,G229D,1,0.05,30,1000,30,88000010,600,0.1,-73,-10,1.8,current
3,100000,0,tn2006,ori,1,0.05,20,100,2,88000010,600,0.1,-73,-10,1.8,current
5,100000,0,tn2006,V241F,3,0.05,30,1000,30,88000010,600,0.1,-73,-10,1.8,current
10,40000,0,tn2006,G229D,1,0.05,30,140,30,88000010,600,0.1,-73,-10,1.8,current
41,100000,0,tn2006,ori,2,0.05,30,1000,30,100,600,0.1,-73,-10,1.8,current
4,100000,0,tn2006,ori,3,0.05,30,240,30,300,600,0.1,-73,-10,1.8,current
