runtime,in01,in02
71,-0.5,4.13
61,-0.5,6.8
59,-0.5,4.4
46,-0.5,4.092
65,-0.5,4.2
54,-0.5,4.05
66,-0.5,4.12
77,-0.5,4.1
57,-0.5,2.13
114,-0.5,6.5
57,-0.5,7
72,-0.5,5
57,-0.5,3.7
110,-0.5,6.5
53,-0.5,4.116
75,-0.5,10
41,-0.5,3.1
56,-0.5,4.1
45,-0.5,2.5
66,-0.5,4.2
57,-0.5,2.5
7,-0.5,1.5
127,-0.5,8
52,-0.5,3
57,-0.5,4.113617435
84,-0.5,4.14
64,-0.5,4.114
83,-0.5,10
53,-0.5,4.11761
56,-0.5,2.1
61,-0.5,6
90,-0.5,7.5
64,-0.5,4.11
56,-0.5,4.1125
86,-0.5,8
48,-0.5,4.7
95,-0.5,10
92,-0.5,9
68,-0.5,4.128
52,-0.5,4.1
59,-0.5,4.11739
53,-0.5,4.08
57,-0.5,4.125
74,-0.5,9
41,-0.5,3.5
81,-0.5,4.1136
58,-0.5,3.9
47,-0.5,2.5
52,-0.5,3.93
47,-0.5,3
75,-0.5,4.129
59,-0.5,6
72,-0.5,5
71,-0.5,4.1145
67,-0.5,4.1146
58,-0.5,7
51,-0.5,4.114
55,-0.5,4.1
51,-0.5,4.1274
77,-0.5,6
51,-0.5,5
70,-0.5,4.11361743
63,-0.5,4.13
99,-0.5,7.5
59,-0.5,6
45,-0.5,3.95
87,-0.5,4
54,-0.5,4.11324
52,-0.5,6
54,-0.5,4.4
45,-0.5,4.12
67,-0.5,4.1
45,-0.5,4
57,-0.5,4.2
63,-0.5,6
46,-0.1,6
48,-0.5,4.08
39,-0.5,3.8
55,-0.5,9
77,-0.5,7
45,-0.5,5
46,-0.5,4.11
52,-0.5,4.11356
16,-0.5,0.2
97,-0.5,9.5
55,-0.5,4.116
53,-0.5,4.1172
54,-0.5,3.5
55,-0.5,4.1115
70,-0.5,4.5
58,-0.5,3
60,-0.5,6
48,-0.5,4.3
57,-0.5,3
53,-0.5,4.1
52,-0.5,4
98,-0.5,9
48,-0.5,4.15
47,-0.5,3.2
67,-0.5,4.12
54,-0.5,4.1136
9,-0.5,1
72,-0.5,10
60,-0.5,3.7
102,-0.5,4
64,-0.5,7
46,-0.5,4
63,-0.5,4.1
53,-0.5,3
42,-0.5,5
57,-0.5,4.147
51,-0.5,2.3
69,-0.5,4.049
74,-0.5,4.5
3094,-0.5,5
73,-0.5,4.122
38,-0.5,3
70,-0.5,4.3
65,-0.5,5
48,-0.5,5
46,-0.5,5
63,-0.5,4.1109
89,-0.5,8
65,-0.5,4.06
82,-0.5,8
67,-0.5,4
48,-0.5,4.12
56,-0.5,6.6
60,-0.5,9
42,-0.5,2
67,-0.5,4.11737
96,-0.5,5
42,-0.5,3.9
51,-0.5,2.06
63,-0.5,4.144
89,-0.5,10
59,-0.5,5.8
73,-0.5,5
91,-0.5,8
64,-0.5,4.2
52,-0.5,4.116
44,-0.5,4.1
108,-0.5,9
74,-0.5,4.2
67,-0.5,9
56,-0.5,4.11075
69,-0.5,6.5
80,-0.5,8
41,-0.5,2
45,-0.5,4.11220001
46,-0.5,4.01
75,-0.5,8.3
69,-0.5,7
146,-0.5,9
54,-0.5,4
53,-0.5,5.2
58,-0.5,4.105
64,-0.5,8
51,-0.5,4.14
68,-0.5,4
55,-0.5,4.114
90,-0.5,7
43,-0.5,4.14
66,-0.5,7
52,-0.5,4.117
57,-0.5,5.7
55,-0.5,4.1095
58,-0.5,4.1136176
42,-0.5,2
46,-0.5,2
76,-0.5,7.8
54,-0.5,4
83,-0.5,4.1464
83,-0.5,4.145
23,-0.5,0.5
41,-0.5,3.9
45,-0.5,4.05
50,-0.5,4.1
41,-0.5,4.7
66,-0.5,4
61,-0.5,4.111
52,-0.5,4.2
51,-0.5,4.8
56,-0.5,4.02
56,-0.5,4.13
52,-0.5,5
62,-0.5,4.118
66,-0.5,4.113
56,-0.5,4.19
53,-0.5,2
112,-0.5,9.6
60,-0.5,5
57,-0.5,3.9
53,-0.5,3.5
64,-0.5,9
90,-0.5,5
78,-0.5,10
73,-0.5,6
52,-0.5,4.14
91,-0.5,4
48,-0.5,4.11
66,-0.5,8
4,-0.5,1.9
49,-0.5,3.94
51,-0.5,2.9
60,-0.5,4.11363
102,-0.5,7.2
58,-0.5,5
76,-0.5,10
67,-0.5,4.085015
102,-0.5,3.8
65,-0.5,4.07
96,-0.5,10
49,-0.5,4
88,-0.5,9
41,-0.5,2
81,-0.5,4.1136
73,-0.5,4.089
49,-0.5,3
64,-0.5,5
66,-0.5,8
64,-0.5,4
71,-0.5,4.111
53,-0.5,4.16
46,-0.5,4
66,-0.5,4.11728
12,-0.5,1.5
109,-0.5,5
57,-0.5,7
92,-0.5,6.5
61,-0.5,6.5
50,-0.5,4.115
49,-0.5,3
53,-0.5,4.113562
49,-0.5,5
54,-1,4
60,-0.5,4.14
71,-0.5,4
45,-0.5,3.8
70,-0.5,7
56,-0.5,5
58,-0.5,2.7
78,-0.5,3.4
62,-0.5,4.5
69,-0.5,4
124,-0.5,4.02
51,-0.5,4.13
56,-0.5,4
43,-0.5,2.03
73,-0.5,3.5
52,-0.5,6.6
42,-0.5,2
50,-0.5,7
63,-0.5,6
75,-0.5,6
45,-0.5,3
56,-0.5,6.5
56,-0.5,4.01
40,-0.5,3
53,-0.5,4.1483
61,-0.5,4.113617435
55,-0.5,4.1
45,-0.5,5
56,-0.5,4.09495
53,-0.5,4
83,-0.5,7
67,-0.5,4.1
52,-0.5,4.5
58,-0.5,4.2
50,-0.5,4.35
2609,-0.5,4
69,-0.5,4.14
46,-0.5,4.15
61,-0.5,4.11225
75,-0.5,4.1202
46,-0.5,2
50,-0.5,4.6
70,-0.5,6
55,-0.5,3.9195
122,-0.5,4.113
91,-0.5,8
89,-0.5,9
42,-0.5,4.12
80,-0.5,7
58,-0.5,7.2
47,-0.5,4.117
70,-0.5,4.18
76,-0.5,4.111
49,-0.5,2
74,-0.5,4.3
70,-0.5,9
82,-0.5,10
51,-0.5,4.11366
41,-0.5,2
51,-0.5,4.1135
51,-0.5,3.3
71,-0.5,3
57,-0.5,4.11
33,-0.5,2
49,-0.5,4.0489
60,-0.5,4.14
68,-0.5,4.1102
52,-0.5,2.5
55,-0.5,3.2
64,-0.5,4.128526
53,-0.5,4.1288
64,-0.5,4.18
57,-0.5,2
72,-0.5,3.6
62,-0.5,7
50,-0.5,6
43,-0.5,5
78,-0.5,8
78,-0.5,4
66,-0.5,4.16
48,-0.5,2.9
50,-0.5,4.11
94,-0.5,10
86,-0.5,8
44,-0.5,3
44,-0.5,4.7
46,-0.5,5.3
2981,-0.5,1
69,-0.5,4.113617435
58,-0.5,4.11385
62,-0.5,9
56,-0.5,7
3045,-0.5,2
48,-0.5,3
55,-0.5,6.1
78,-0.5,4
63,-0.5,4.11
78,-0.5,4
55,-0.5,6
46,-0.5,4.11
55,-0.5,5
67,-0.5,7
70,-0.5,4.141
50,-0.5,4.5
65,-0.5,4.113563
55,-0.5,4
47,-0.5,2
86,-0.5,7
57,-0.5,7
65,-0.5,6
64,-0.5,7
73,-0.5,4.2
66,-0.5,3
50,-0.5,4.1
120,0.5,5
51,-0.5,4
90,-0.5,4.2
44,-0.5,2
55,-0.5,5
63,-0.5,4
74,-0.5,4.1137
57,-0.5,2
90,-0.5,4.2
89,-0.5,8
40,-0.5,3
61,-0.5,5.5
34,-0.5,2.45
65,-0.5,3
68,-0.5,3
71,-0.5,5.5
56,-0.5,4.7
83,-0.5,8.2
90,-0.5,4.1
72,-0.5,10
61,-0.5,4.112264
89,-0.5,8
47,-0.5,4.118
57,-0.5,4.7
59,-0.5,3
67,-0.5,3.98
35,-0.5,2
116,-0.5,10
55,-0.5,4.1124
51,-0.5,3
45,-0.5,5
23,-0.5,1.5
67,-0.5,4.5
66,-0.5,3.95
51,-0.5,7
54,-0.5,3.6
41,-0.5,3
53,-0.5,3.2
50,-0.5,4.117
