runtime,in01,in02
47,-0.5,2.894
34,-0.5,2.5
65,-0.5,6
45,-0.5,3.5
48,-0.5,5
73,-0.5,6
54,-0.5,2.886
43,-0.5,2.8969
49,-0.5,2.86
53,-0.5,2.87
50,-0.5,3.5
34,-0.5,2
49,-0.5,4.09
50,-0.5,2.897
50,-0.5,4.7
63,-0.5,5
38,-0.5,2
82,-0.5,8.5
43,-0.5,2.908
94,-0.5,5
74,-0.5,6.5
62,-0.5,5
43,-0.5,2
39,-0.5,2.75
29,-0.5,2
52,-0.5,4
55,-0.5,4.5
49,-0.5,2.893125
73,-0.5,8.5
67,-0.5,3.45
39,-0.5,3
47,-0.5,4
43,-0.5,2
60,-0.5,6
39,-0.5,2.8963
85,-0.5,8
54,-0.5,2.8
54,-0.5,2.895
54,-0.5,6
41,-0.5,2
71,-0.5,6
53,-0.5,6.5
90,-0.5,6
45,-0.5,2.913
84,-0.5,9
35,-0.5,2
57,-0.5,6.4
26,-0.2,2.5
63,-0.5,2.8965
51,-0.5,4.7
76,-0.5,5
62,-0.5,2.8
85,-0.5,8
47,-0.5,4
39,-0.5,2.23
35,-0.5,4
51,-0.5,2.89
37,-0.5,2.8
83,-0.5,7
55,-0.5,4
45,-0.5,2.9
34,-0.5,2
36,-0.5,2
40,-0.5,2
82,-0.5,7
126,-0.5,10
34,-0.5,2.14
46,-0.5,2.9
80,-0.5,5
69,-0.5,5
36,-0.5,2
2516,-0.5,6
69,-0.5,8.8
56,-0.5,2.896
78,-0.5,2.5
79,-0.5,7
46,-0.5,2
69,-0.5,9
50,-0.5,2.86
71,-0.5,3.19
48,-0.5,2.9
43,-0.5,2.875
42,-0.5,2.6
65,-0.5,7.6
45,-0.5,4.5
46,-0.5,3.7
42,-0.5,2.95
69,-0.5,2.89687
73,-0.5,10
81,-0.5,9.5
44,-0.5,2.89941
41,-0.5,3.46
62,-0.5,7
44,-0.5,2.95
104,-0.5,7
45,-0.5,2.89955
58,-0.5,7.5
47,-0.5,3.7
44,-0.5,2.896929
58,-0.5,2.894
91,-0.5,10
40,-0.5,2.8968
93,-0.5,9
32,-0.5,2.8982
49,-0.5,2.9
56,-0.5,4
48,-0.5,2.9
55,-0.5,6.3
46,-0.5,3
82,-0.5,8
120,-0.5,5
47,-0.5,5.5
60,-0.5,4.5
48,-0.5,2.8994
42,-0.5,3.9
46,-0.5,2.85
80,-0.5,8
24,-0.5,2
68,-0.5,6.6
41,-0.5,2.896925
43,-0.5,2.897
46,-0.5,3
57,-0.5,2.7
66,-0.5,6.5
37,-0.5,2.8
40,-0.5,2.8975
103,-0.5,3
53,-0.5,3.5
44,-0.5,3
34,-0.5,2.8
69,-0.5,6
35,-0.5,3
62,-0.5,7
69,-0.5,5
43,-0.5,2.89
73,-0.5,2.885
47,-0.5,4
72,-0.5,10
54,-0.5,3.95
78,-0.5,9
70,-0.5,6
50,-0.5,3
38,-0.5,2.25
45,-0.5,2.89941
55,-0.5,2.89
45,-0.5,2.91
53,-0.5,2.9
87,-0.5,8.8
44,-0.5,2.5555
104,-0.5,8
38,-0.5,2.899
41,-0.5,2.4
51,-0.5,2.895
48,-0.5,2.898
74,-0.5,6
36,-0.5,2.5
49,-0.5,2.896895
68,-0.5,2.8994
29,-0.5,3
39,-0.5,3
101,-0.5,7
47,-0.5,3
68,-0.5,9
48,-0.5,2.894
47,-0.5,2.5
48,-0.5,2.897
63,-0.5,8
100,-0.5,7
58,-0.5,2.89811
49,-0.5,3.8
56,-0.5,3.4
55,-0.5,5
43,-0.5,2.8965
40,-0.5,2.896936
82,-0.5,7
39,-0.5,2.899
118,-0.5,5
37,-0.5,2.899465
35,-0.5,2.7
35,-0.5,2.897
68,-0.5,6
60,-0.5,6
45,-0.5,2.8
71,-0.5,10
82,-0.5,6
42,-0.5,2.88
43,-0.5,2.896938
44,-0.5,4
44,-0.5,4.6
59,-0.5,2.05
53,-0.5,2.3
61,-0.5,9
34,-0.5,2.5
53,-0.5,2.898
38,-0.5,2.9
76,-0.5,7.4
43,-0.5,2.92
31,-0.5,2
100,-0.5,2.9
37,-0.5,2.899
41,-0.5,2.89683
37,-0.5,2.9
34,-0.5,2.6
41,-0.5,4
87,-0.5,9
41,-0.5,2
40,-0.5,2.2
66,-0.5,7
86,-0.5,6
54,-0.5,2.898
29,-0.5,2
71,-0.5,3.5
46,-0.5,4.08
76,-0.5,9.3
54,-0.5,6
64,-0.5,8
46,-0.5,3
56,-0.5,6
65,-0.5,7
45,-0.5,5
79,-0.5,10
41,-0.5,2.9
57,-0.5,3.5
66,-0.5,2.4
56,-0.5,2
78,-0.5,9
69,-0.5,2.5
79,-0.5,2.99
75,-0.5,3
36,-0.5,2.899
30,-0.5,2
52,-0.5,5
74,-0.5,6
53,-0.5,2.9
53,-0.5,2.9
62,-0.5,6
48,-0.5,2.96
90,-0.5,8
49,-0.5,2.896905
46,-0.5,2.89
49,-0.5,2.9
39,-0.5,4.6
44,-0.5,3
48,-0.5,2.9
44,-0.5,4
40,-0.5,2.87
71,-0.5,8.5
51,-0.5,2.2
76,-0.5,8.4
37,-0.5,3.1
58,-0.5,2.6
64,-0.5,5.5
50,-0.5,2.89741
57,-0.5,2.92
66,-0.5,5
42,-0.5,2.8984
44,-0.5,2.89946
84,-0.5,7
90,-0.5,7
37,-0.5,2.5
63,-0.5,2.94
59,-0.5,3.5
37,-0.5,2
101,-0.5,7
45,-0.5,2.4
46,-0.5,3
46,-0.5,2.85
49,-0.5,2.5
67,-0.5,8
53,-0.5,2.896
53,-0.5,2.779898991
39,-0.5,2
51,-0.5,2.8995
44,-0.5,2.9
28,-0.5,2
44,-0.5,2.88
65,-0.5,3
63,-0.5,5
47,-0.5,3.2
47,-0.5,2
49,-0.5,2.9
48,-0.5,2.892
72,-0.5,2.89814
54,-0.5,3.89
50,-0.5,2.895
46,-0.5,2.95
50,-0.5,2.901
40,-0.5,2.08
46,-0.5,4
49,-0.5,2.8965
61,-0.5,2.4
50,-0.5,3.8
56,-0.5,2.896
39,-0.5,3
40,-0.5,2.89817
42,-0.5,2.88
63,-0.5,9
44,-0.5,2.41
59,-0.5,2.89
66,-0.5,7
71,-0.5,7
106,-0.5,10
75,-0.5,10
43,-0.5,2.89945
74,-0.5,9
55,-0.5,4
37,-0.5,2.89697
102,-0.5,2.8
51,-0.5,3.7
105,-0.5,10
70,-0.5,7
40,-0.5,3
47,-0.5,4.5
58,-0.5,5.5
101,-0.5,8
37,-0.5,2.7
91,-0.5,9.5
120,-0.5,6
73,-0.5,3.5
96,-0.5,10
67,-0.5,2.87
57,-0.5,2.9
40,-0.5,2.8
39,-0.5,2.9
45,-0.5,2.8944
47,-0.5,2.89658
73,-0.5,7.5
50,-0.5,4
37,-0.5,3.6
47,-0.5,2.5
46,-0.5,4
44,-0.5,4.1
69,-0.5,9.5
71,-0.5,5
59,-0.5,4.7
46,-0.5,4
64,-0.5,7
83,-0.5,7
47,-0.5,4
34,-0.5,2.67
74,-0.5,7
44,-0.5,2.9
46,-0.5,4.5
95,-0.5,9
62,-0.5,5.5
43,-0.5,2.901
43,-0.5,3
44,-0.5,2.89811081
50,-0.5,5
37,-0.5,4
51,-0.5,2.89
53,-0.5,5
71,-0.5,6
48,-0.5,3.4
42,-0.5,4
66,-0.5,8
28,-0.5,2
54,-0.5,2.95
82,-0.5,6
47,-0.5,2.94
55,-0.5,2.8993901
72,-0.5,2.8995
71,-0.5,9.6
78,-0.5,3.5
52,-0.5,2.781
70,-0.5,10
69,-0.5,5
68,-0.5,2.85
55,-0.5,6
52,-0.5,3.96
56,-0.5,2.8927
71,-0.5,9
52,-0.5,2.779898999
46,-0.5,2.89
55,-0.5,5
71,-0.5,9.1
47,-0.5,4
46,-0.5,4
43,-0.5,2.4
121,-0.5,10
55,-0.5,3
74,-0.5,9
55,-0.5,2.9
55,-0.5,2.89687
47,-0.5,2.89719
79,-0.5,9
38,-0.5,2
52,-0.5,2.3
79,-0.5,7
50,-0.5,2.85
40,-0.5,3
39,-0.5,2.899493
48,-0.5,3
39,-0.5,3
88,-0.5,10
38,-0.5,3
44,-0.5,2.6
38,-0.5,3
62,-0.5,3.5
54,-0.5,8.5
74,-0.5,3.39
99,-0.5,2.8
54,-0.5,2.89965
71,-0.5,2.8925
41,-0.5,2.13
29,-0.5,2
82,-0.5,7
42,-0.5,2.87
57,-0.5,6
38,-0.5,4
67,-0.5,6
45,-0.5,2.899
81,-0.5,8
63,-0.5,7
77,-0.5,3.8
40,-0.5,2.7
45,-0.5,2.89679
39,-0.5,2.902
38,-0.5,2.5
65,-0.5,6
50,-0.5,2.89
42,-0.5,3.6
45,-0.5,2
70,-0.5,2.779898991
55,-0.5,2.8938
49,-0.5,6.5
51,-0.5,2.9
111,-0.5,10
40,-0.5,2.9
40,-0.5,2.3
34,-0.5,2
