runtime,in01,in02,in03,in04,in05,in06,in07,in08,in09,in10,in11,in12,in13,in14,in15,in16,in17,in18,in19,in20,in21,in22,in23,in24,in25,in26,in27,in28,in29,in30
279816,38,4,300,0.08,-0.08,5,80,0.08,-0.08,1,2,2,0.8,2,0.8,61,61,81,121,121,161,0.55,0.55,4.109,4.128,-0.2,0.2,0.05,50000000,10000000
27328,38,4,300,0.08,-0.08,5,80,0.08,-0.08,1,2,2,0.8,2,0.8,61,61,81,121,121,161,0.45,0.45,3.928,3.943,-0.2,0.2,0.05,10000000,1000000
0,38.8,2.5,300,0.2,-0.2,5,80,0.2,-0.2,1,1,1,0.5,2,1,61,61,81,121,121,100,0.1,0.1,2.575,2.573,-0.2,0.2,0.02,150000000,50000000
4830,38,4,300,0.5,-0.5,5,80,0.5,-0.5,1,1,2,0.8,2,0.8,61,61,81,121,121,161,0.1,0.1,2.575,2.573,-0.2,0.2,0.05,10000000,1000000
1,38,4,300,0.08,-0.08,5,80,0.08,-0.08,1,2,2,0.8,2,0.8,61,61,81,121,121,161,0.05,0.05,1.958,1.959,-0.2,0.2,0.05,10000000,1000000
3144,38,4,300,0.08,-0.08,5,80,0.08,-0.08,0.5,2.5,2,0.8,2,0.8,61,61,81,121,121,161,0.1,0.1,2.575,2.573,-0.2,0.2,0.05,10000000,1000000
4873,38,4,300,0.2,-0.2,5,80,0.2,-0.2,1.5,2,1,0.5,2,1,61,61,81,121,121,161,0.1,0.1,2.601,2.604,-0.2,0.2,0.05,10000000,1000000
5129,38,4,300,0.2,-0.2,5,80,0.2,-0.2,2,2.5,1,0.5,2,1,61,61,81,121,121,161,0.1,0.1,2.643,2.648,-0.2,0.2,0.05,10000000,1000000
89590,38.8,2.5,300,0.2,-0.2,5,80,0.2,-0.2,1,1,1,0.5,2,1,61,61,81,121,121,161,0.1,0.1,2.575,2.573,-0.2,0.2,0.02,150000000,50000000
1,38,4,300,0.08,-0.08,5,80,0.08,-0.08,1,2,2,0.8,2,0.8,61,61,81,121,121,161,0.45,0.45,3.928,3.943,-0.2,0.2,0.05,10000000,1000000
5140,38,4,300,0.08,-0.08,5,80,0.08,-0.08,1,0.5,2,0.8,2,0.8,61,61,81,121,121,161,0.1,0.1,2.575,2.573,-0.2,0.2,0.05,10000000,1000000
415070,38,4,300,0.08,-0.08,5,80,0.08,-0.08,1,2,2,0.8,2,0.8,61,61,81,121,121,161,0.5,0.5,4.023,4.04,-0.2,0.2,0.05,100000000,50000000
87019,38,4,300,0.08,-0.08,5,80,0.08,-0.08,1,2,2,0.8,2,0.8,61,61,81,121,121,161,0.25,0.25,3.402,3.41,-0.2,0.2,0.05,50000000,10000000
0,38.8,2.5,300,0.2,-0.2,5,80,0.2,-0.2,1,1,1,0.5,2,1,61,61,81,121,121,100,0.1,0.1,2.575,2.573,-0.2,0.2,0.02,150000000,50000000
4946,38,4,300,0.2,-0.2,5,80,0.2,-0.2,0.5,0.5,1,0.5,2,1,61,61,81,121,121,161,0.1,0.1,2.426,2.425,-0.2,0.2,0.05,10000000,1000000
26655,38,4,300,0.08,-0.08,5,80,0.08,-0.08,1,2,2,0.8,2,0.8,61,61,81,121,121,161,0.4,0.4,3.821,3.835,-0.2,0.2,0.05,10000000,1000000
0,38.8,2.5,300,0.2,-0.2,5,80,0.2,-0.2,1,1,1,0.5,2,1,61,61,81,10,121,161,0.1,0.1,2.575,2.573,-0.2,0.2,0.02,150000000,50000000
3657,38,4,300,0.08,-0.08,5,80,0.08,-0.08,1.5,1.5,2,0.8,2,0.8,61,61,81,121,121,161,0.1,0.1,2.575,2.573,-0.2,0.2,0.05,10000000,1000000
5694,38,4,300,0.08,-0.08,5,80,0.08,-0.08,1,1,2,0.8,2,0.8,61,61,81,121,121,161,0.1,0.1,2.575,2.573,-0.2,0.2,0.05,10000000,1000000
5171,38,4,300,0,0,5,80,0,0,1,1,2,0.8,2,0.8,61,61,81,121,121,161,0.1,0.1,2.575,2.573,-0.2,0.2,0.05,10000000,1000000
2804,38,4,300,0.08,-0.08,5,80,0.08,-0.08,1.5,3,2,0.8,2,0.8,61,61,81,121,121,161,0.1,0.1,2.575,2.573,-0.2,0.2,0.05,10000000,1000000
5727,38,4,300,0.2,-0.2,2,80,0.2,-0.2,1,1,1,0.5,2,1,61,61,81,121,121,161,0.1,0.1,2.575,2.573,-0.2,0.2,0.05,10000000,1000000
1,38,4,300,0.08,-0.08,5,80,0.08,-0.08,1,2,2,0.8,2,0.8,61,61,81,121,121,161,0.15,0.15,2.584,2.586,-0.2,0.2,0.05,10000000,1000000
3915,38,4,300,0.08,-0.08,5,80,0.08,-0.08,1,2.5,2,0.8,2,0.8,61,61,81,121,121,161,0.1,0.1,2.575,2.573,-0.2,0.2,0.05,10000000,1000000
280,38.8,2.5,300,0.2,-0.2,5,80,0.2,-0.2,1,1,1,0.5,2,1,61,61,81,121,121,161,0.1,0.1,2.575,2.573,-0.2,0.2,0.02,120000,100000
261,38.8,2.5,300,0.2,-0.2,5,80,0.2,-0.2,1,1,1,0.5,2,1,61,61,81,121,121,161,0.1,0.1,2.575,2.573,-0.2,0.2,0.02,120000,100000
5304,38,4,300,0.2,-0.2,5,80,0.2,-0.2,1,2,1,0.5,2,1,61,61,81,121,121,161,0.1,0.1,2.584,2.586,-0.2,0.2,0.05,10000000,1000000
2946,38,4,300,0.08,-0.08,5,80,0.08,-0.08,1,3,2,0.8,2,0.8,61,61,81,121,121,161,0.1,0.1,2.575,2.573,-0.2,0.2,0.05,10000000,1000000
4635,38,4,300,0.08,-0.08,5,80,0.08,-0.08,3,0.5,2,0.8,2,0.8,61,61,81,121,121,161,0.1,0.1,2.575,2.573,-0.2,0.2,0.05,10000000,1000000
4795,38,4,300,0.2,-0.2,5,80,0.2,-0.2,1.5,1,1,0.5,2,1,61,61,81,121,121,161,0.1,0.1,2.564,2.563,-0.2,0.2,0.05,10000000,1000000
4159,38,4,300,0.08,-0.08,5,80,0.08,-0.08,1,1,2,0.8,2,0.8,61,61,81,121,121,161,0.1,0.1,2.575,2.573,-0.2,0.2,0.05,10000000,1000000
6001,38,4,300,0.2,-0.2,6,80,0.2,-0.2,1,1,1,0.5,2,1,61,61,81,121,121,161,0.1,0.1,2.575,2.573,-0.2,0.2,0.05,10000000,1000000
19139,38,4,300,0.08,-0.08,5,80,0.08,-0.08,1,2,2,0.8,2,0.8,61,61,81,121,121,161,0.35,0.35,3.703,3.713,-0.2,0.2,0.05,10000000,1000000
4920,38,4,300,0.2,-0.2,10,80,0.2,-0.2,1,1,1,0.5,2,1,61,61,81,121,121,161,0.1,0.1,2.575,2.573,-0.2,0.2,0.05,10000000,1000000
3381,38,4,300,0.08,-0.08,5,80,0.08,-0.08,1.5,2,2,0.8,2,0.8,61,61,81,121,121,161,0.1,0.1,2.575,2.573,-0.2,0.2,0.05,10000000,1000000
1,38.8,2.5,300,0.2,-0.2,5,80,0.2,-0.2,1,1,1,0.5,2,1,61,61,80,121,121,161,0.1,0.1,2.575,2.573,-0.2,0.2,0.02,150000000,50000000
140647,38,4,300,0.08,-0.08,5,80,0.08,-0.08,1,2,2,0.8,2,0.8,61,61,81,121,121,161,0.35,0.35,3.703,3.713,-0.2,0.2,0.05,50000000,10000000
2785,38,4,300,0.2,-0.2,5,80,0.2,-0.2,3,0.5,1,0.5,2,1,61,61,81,121,121,161,0.1,0.1,2.62,2.602,-0.2,0.2,0.05,10000000,1000000
5215,38,4,300,0.08,-0.08,5,80,0.08,-0.08,1.5,0.5,2,0.8,2,0.8,61,61,81,121,121,161,0.1,0.1,2.575,2.573,-0.2,0.2,0.05,10000000,1000000
2551,38,4,300,0.08,-0.08,5,80,0.08,-0.08,2.5,3,2,0.8,2,0.8,61,61,81,121,121,161,0.1,0.1,2.575,2.573,-0.2,0.2,0.05,10000000,1000000
6200,38,4,300,0.08,-0.08,5,80,0.08,-0.08,1,1,2,0.8,2,0.8,61,61,81,121,121,161,0.8,0.8,2.575,2.573,-0.2,0.2,0.05,10000000,1000000
5069,38,4,300,0.2,-0.2,5,80,0.2,-0.2,0.5,1,1,0.5,2,1,61,61,81,121,121,161,0.1,0.1,2.506,2.506,-0.2,0.2,0.05,10000000,1000000
3661,38,4,300,0.08,-0.08,5,80,0.08,-0.08,1,2,2,0.8,2,0.8,61,61,81,121,121,161,0.1,0.1,2.575,2.573,-0.2,0.2,0.05,10000000,1000000
4673,38,4,300,0.2,-0.2,5,80,0.2,-0.2,0.5,2.5,1,0.5,2,1,61,61,81,121,121,161,0.1,0.1,2.584,2.592,-0.2,0.2,0.05,10000000,1000000
3373,38,4,300,0.08,-0.08,5,80,0.08,-0.08,2,1,2,0.8,2,0.8,61,61,81,121,121,161,0.1,0.1,2.575,2.573,-0.2,0.2,0.05,10000000,1000000
0,38.8,2.5,300,0.2,-0.2,5,80,0.2,-0.2,1,1,1,0.5,2,1,61,61,81,120,121,161,0.1,0.1,2.575,2.573,-0.2,0.2,0.02,150000000,50000000
4805,38,4,300,0.2,-0.2,5,80,0.2,-0.2,1.5,3,1,0.5,2,1,61,61,81,121,121,161,0.1,0.1,2.641,2.659,-0.2,0.2,0.05,10000000,1000000
