runtime,in01,in02,in03,in04,in05,in06,in07,in08,in09,in10
47,5,1.5,0.5,70,800,PO,10,24,No,Yes
22,5,1.5,0.5,70,400,PO,14,12,No,Yes
58,5,1.5,0.5,70,400,PO,20,12,No,Yes
27,1,0.5,0.5,70,50,PO,18,8,No,Yes
26,5,1.5,0.5,70,800,PO,7,24,No,Yes
19,5,1.5,0.5,70,800,PO,7,24,No,Yes
29,100,1.5,100,70,400,PO,14,12,No,Yes
22,5,1.5,0.5,70,400,PO,14,12,No,Yes
18,5,1.5,0.5,70,800,PO,7,24,No,Yes
18,5,1.5,0.5,70,800,PO,3,24,No,Yes
24,5,1.5,0.5,70,800,PO,3,24,No,Yes
21,5,1.5,0.5,70,800,PO,7,24,No,Yes
23,5,1.5,0.5,70,400,PO,14,12,No,Yes
18,24,1,1,70,100,PO,1,24,No,Yes
24,1,0.5,0.5,70,100,PO,15,8,No,Yes
18,2,0.3,0.5,70,100,PO,10,8,No,Yes
24,5,1.5,0.5,70,400,PO,14,12,No,Yes
18,5,1.5,0.5,70,800,PO,7,24,No,Yes
18,5,1.5,0.5,70,800,PO,3,24,No,Yes
26,5,1.5,0.5,70,800,PO,7,24,No,Yes
53,5,1.5,0.5,70,400,PO,14,12,No,Yes
34,5,1.5,0.5,70,200,PO,28,6,No,Yes
20,5,1.5,0.5,70,800,PO,7,24,No,Yes
18,5,1.5,0.5,70,800,PO,7,24,No,Yes
17,24,1,0.5,70,100,PO,1,24,No,Yes
15,20,1.5,0.5,70,800,PO,1,24,No,Yes
24,5,1.5,0.5,70,400,PO,20,12,No,Yes
30,5,1.5,0.5,70,800,PO,3,24,No,Yes
17,12,0.1,1,70,400,PO,3,8,No,Yes
46,1,1.5,0.5,70,800,PO,15,24,No,Yes
24,5,1.5,0.5,70,800,PO,7,24,No,Yes
22,5,1.5,0.5,70,800,PO,7,24,No,Yes
15,24,1,1,70,100,PO,5,1,No,Yes
17,5,1.5,0.5,70,800,PO,3,24,No,Yes
18,5,1.5,0.5,70,800,PO,3,24,No,Yes
22,5,1.5,0.5,70,800,PO,7,24,No,Yes
165,0.1,1.5,0.5,70,800,PO,10,24,No,Yes
23,5,1.5,0.5,70,400,PO,14,12,No,Yes
75,5,1.5,0.5,70,400,PO,14,12,No,Yes
44,5,1.5,0.5,70,800,PO,7,24,No,Yes
24,5,1.5,0.5,70,800,PO,3,24,No,Yes
57,5,1.5,0.5,70,800,PO,3,24,Yes,Yes
16,24,1,0.5,70,100,PO,1,24,No,Yes
22,5,1.5,0.5,70,400,PO,14,12,No,Yes
20,5,1.5,0.5,70,800,PO,3,24,No,Yes
24,5,1.5,0.5,70,400,PO,14,12,No,Yes
23,5,1.5,0.5,70,800,PO,14,12,No,Yes
30,5,1.5,0.4,70,800,PO,5,24,No,Yes
33,5,1.5,0.5,70,400,PO,14,12,No,Yes
20,1,0.5,0.5,70,100,PO,10,8,No,Yes
12,5,1.5,0.5,70,800,PO,3,24,No,Yes
20,5,1.5,0.5,70,400,PO,14,12,No,Yes
20,5,1.5,0.5,70,400,PO,7,12,No,Yes
20,5,1.5,0.5,70,800,PO,7,24,No,Yes
55,15,1,1,70,800,PO,2,24,Yes,Yes
59,5,1.5,0.5,70,400,PO,14,12,No,Yes
1,50,2,1,70,800,PO,1,24,No,Yes
25,5,1.5,0.5,70,400,PO,7,12,No,Yes
23,5,1.5,0.5,70,800,PO,7,24,No,Yes
17,5,1.5,0.5,70,800,PO,3,24,No,Yes
23,5,1.5,0.5,70,800,PO,7,24,No,Yes
208,5,1.5,0.5,70,800,PO,6,24,Yes,Yes
29,5,1.5,0.5,70,800,PO,7,24,No,Yes
23,1,0.5,0.5,70,50,PO,15,8,No,Yes
37,5,1.5,0.5,70,400,PO,14,12,No,Yes
22,1,0.5,0.5,70,50,PO,10,8,No,Yes
40,5,1.5,0.5,70,400,PO,14,12,No,Yes
29,0.5,0.5,0.5,70,100,PO,10,8,No,Yes
49,5,1.5,0.5,70,800,PO,7,24,No,Yes
23,5,1.5,0.5,70,400,PO,14,12,No,Yes
15,24,1,0.5,70,100,PO,1,24,No,Yes
10,12,35,0.5,70,100,PO,1,24,No,Yes
44,5,1.5,0.5,70,400,PO,14,12,No,Yes
5941,5,1.5,0.5,70,800,PO,7,24,No,Yes
25,1,0.5,0.5,70,100,PO,10,8,No,Yes
28,1,0.8,0.5,70,100,PO,10,8,No,Yes
46,5,1.5,0.5,70,800,PO,7,24,No,Yes
24,5,1.5,0.5,70,800,PO,7,24,No,Yes
15,5,1.5,0.5,70,400,PO,7,9,No,Yes
29,5,1.5,0.5,70,400,PO,14,12,No,Yes
603,5,1.5,0.5,70,400,PO,14,12,No,Yes
19,1,0.4,0.5,70,100,PO,10,8,No,Yes
22,5,1.5,0.5,70,800,PO,3,24,No,Yes
35,5,1.5,0.5,70,400,PO,14,12,No,Yes
22,5,1.5,0.5,70,800,PO,3,24,No,Yes
22,5,1.5,0.5,70,800,PO,10,24,No,Yes
22,5,1.5,0.5,70,800,PO,3,24,No,Yes
20,24,1,0.5,70,100,PO,1,24,No,Yes
503,0.01,0.5,0.5,70,50,PO,10,8,No,Yes
23,5,1.5,0.5,70,400,PO,14,12,No,Yes
30,5,0.75,0.5,70,800,PO,14,12,No,Yes
20,24,1,0.5,70,100,PO,1,24,No,Yes
24,100,1.5,100,70,800,PO,7,24,No,Yes
23,5,1.5,0.5,70,800,PO,7,24,No,Yes
25,5,1.5,0.5,70,800,PO,7,24,No,Yes
20,1,0.5,0.5,70,100,PO,10,8,No,Yes
24,10,2,1,70,800,PO,10,24,No,Yes
26,5,1.5,0.5,70,400,PO,14,12,No,Yes
26,5,1.5,0.5,70,400,PO,6,12,No,Yes
17,5,1.5,0.5,70,800,PO,7,24,No,Yes
22,5,1.5,0.5,70,400,PO,14,12,No,Yes
20,4,1.5,0.5,50,800,PO,7,24,No,Yes
26,5,1.5,0.5,70,400,PO,14,12,No,Yes
21,5,1.5,0.5,70,800,PO,7,24,No,Yes
27,1,0.5,0.5,70,500,PO,18,8,No,Yes
60,5,1.5,0.5,70,400,PO,14,12,No,Yes
16,24,1,0.5,70,100,PO,1,24,No,Yes
27,5,1.5,0.5,70,125,PO,4,6,No,Yes
